,pos_x,pos_y,r,t
4116,45.0,15.0,1,8232
4117,45.0,15.0,1,8234
4118,45.0,15.0,1,8236
4119,45.0,15.0,1,8238
4120,45.0,15.0,1,8240
4121,45.0,15.0,1,8242
4122,45.0,15.0,1,8244
4123,45.0,15.0,1,8246
4124,45.0,15.0,1,8248
4125,45.0,15.0,1,8250
4126,45.0,15.0,1,8252
4127,45.0,15.0,1,8254
4128,45.0,15.0,1,8256
4129,45.0,15.0,1,8258
4130,45.0,15.0,1,8260
4131,45.0,15.0,1,8262
4132,45.0,15.0,1,8264
4133,45.0,15.0,1,8266
4134,45.0,15.0,1,8268
4135,45.0,15.0,1,8270
4136,45.0,15.0,1,8272
4137,45.0,15.0,1,8274
4138,45.0,15.0,1,8276
4139,45.0,15.0,1,8278
4140,45.0,15.0,1,8280
4141,45.0,15.0,1,8282
4142,45.0,15.0,1,8284
4143,45.0,15.0,1,8286
4144,45.0,15.0,1,8288
4145,45.0,15.0,1,8290
4146,45.0,15.0,1,8292
4147,45.0,15.0,1,8294
4148,45.0,15.0,1,8296
4149,45.0,15.0,1,8298
4150,45.0,15.0,1,8300
4151,45.0,15.0,1,8302
4152,45.0,15.0,1,8304
4153,45.0,15.0,1,8306
4154,45.0,15.0,1,8308
4155,45.0,15.0,1,8310
4156,45.0,15.0,1,8312
4157,45.0,15.0,1,8314
4158,45.0,15.0,1,8316
4159,45.0,15.0,1,8318
4160,45.0,15.0,1,8320
4161,45.0,15.0,1,8322
4162,45.0,15.0,1,8324
4163,45.0,15.0,1,8326
4164,45.0,15.0,1,8328
4165,45.0,15.0,1,8330
4166,45.0,15.0,1,8332
4167,45.0,15.0,1,8334
4168,45.0,15.0,1,8336
4169,45.0,15.0,1,8338
4170,45.0,15.0,1,8340
4171,45.0,15.0,1,8342
4172,45.0,15.0,1,8344
4173,45.0,15.0,1,8346
4174,45.0,15.0,1,8348
4175,45.0,15.0,1,8350
4176,45.0,15.0,1,8352
4177,45.0,15.0,1,8354
4178,45.0,15.0,1,8356
4179,45.0,15.0,1,8358
4180,45.0,15.0,1,8360
4181,45.0,15.0,1,8362
4182,45.0,15.0,1,8364
4183,45.0,15.0,1,8366
4184,45.0,15.0,1,8368
4185,45.0,15.0,1,8370
4186,45.0,15.0,1,8372
4187,45.0,15.0,1,8374
4188,45.0,15.0,1,8376
4189,45.0,15.0,1,8378
4190,45.0,15.0,1,8380
4191,45.0,15.0,1,8382
4192,45.0,15.0,1,8384
4193,45.0,15.0,1,8386
4194,45.0,15.0,1,8388
4195,45.0,15.0,1,8390
4196,45.0,15.0,1,8392
4197,45.0,15.0,1,8394
4198,45.0,15.0,1,8396
4199,45.0,15.0,1,8398
4200,45.0,15.0,1,8400
4201,45.0,15.0,1,8402
4202,45.0,15.0,1,8404
4203,45.0,15.0,1,8406
4204,45.0,15.0,1,8408
4205,45.0,15.0,1,8410
4206,45.0,15.0,1,8412
4207,45.0,15.0,1,8414
4208,45.0,15.0,1,8416
4209,45.0,15.0,1,8418
4210,45.0,15.0,1,8420
4211,45.0,15.0,1,8422
4212,45.0,15.0,1,8424
4213,45.0,15.0,1,8426
4214,45.0,15.0,1,8428
4215,45.0,15.0,1,8430
4216,45.0,15.0,1,8432
4217,45.0,15.0,1,8434
4218,45.0,15.0,1,8436
4219,45.0,15.0,1,8438
4220,45.0,15.0,1,8440
4221,45.0,15.0,1,8442
4222,45.0,15.0,1,8444
4223,45.0,15.0,1,8446
4224,45.0,15.0,1,8448
4225,45.0,15.0,1,8450
